INFO 2025-08-03 15:14:45,437 autoreload 3216 14028 Watching for file changes with StatReloader
INFO 2025-08-03 15:26:49,446 autoreload 8528 17100 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 15:26:51,171 autoreload 9752 5592 Watching for file changes with StatReloader
INFO 2025-08-03 15:27:08,173 autoreload 9752 5592 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 15:27:09,812 autoreload 11584 15424 Watching for file changes with StatReloader
INFO 2025-08-03 15:27:21,485 autoreload 11584 15424 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 15:27:22,984 autoreload 4472 10096 Watching for file changes with StatReloader
WARNING 2025-08-03 15:34:21,766 log 4472 12964 Unauthorized: /api/customers/
WARNING 2025-08-03 15:34:21,766 log 4472 8236 Unauthorized: /api/products/
WARNING 2025-08-03 15:34:21,782 basehttp 4472 12964 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:34:21,798 basehttp 4472 8236 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:34:21,798 log 4472 8900 Unauthorized: /api/sales/
WARNING 2025-08-03 15:34:21,819 basehttp 4472 8900 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:34:36,272 log 4472 8900 Unauthorized: /api/products/
WARNING 2025-08-03 15:34:36,272 log 4472 8236 Unauthorized: /api/customers/
WARNING 2025-08-03 15:34:36,272 basehttp 4472 8900 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:34:36,272 basehttp 4472 8236 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:34:36,287 log 4472 8236 Unauthorized: /api/sales/
WARNING 2025-08-03 15:34:36,287 basehttp 4472 8236 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:34:36,323 log 4472 8236 Unauthorized: /api/products/
WARNING 2025-08-03 15:34:36,330 basehttp 4472 8236 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:34:36,372 log 4472 8236 Unauthorized: /api/customers/
WARNING 2025-08-03 15:34:36,372 basehttp 4472 8236 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:34:36,396 log 4472 8236 Unauthorized: /api/sales/
WARNING 2025-08-03 15:34:36,406 basehttp 4472 8236 "GET /api/sales/ HTTP/1.1" 401 27
INFO 2025-08-03 15:38:18,726 basehttp 4472 8168 "GET /api/products/ HTTP/1.1" 200 916
WARNING 2025-08-03 15:39:00,794 log 4472 10556 Unauthorized: /api/products/
WARNING 2025-08-03 15:39:00,825 basehttp 4472 10556 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:39:00,872 log 4472 13608 Unauthorized: /api/customers/
WARNING 2025-08-03 15:39:00,872 log 4472 9860 Unauthorized: /api/sales/
WARNING 2025-08-03 15:39:00,892 basehttp 4472 13608 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:39:00,898 basehttp 4472 9860 "GET /api/sales/ HTTP/1.1" 401 27
INFO 2025-08-03 15:39:11,234 basehttp 4472 1080 "OPTIONS /api/dashboard-stats/ HTTP/1.1" 200 0
WARNING 2025-08-03 15:39:11,256 log 4472 1080 Unauthorized: /api/dashboard-stats/
INFO 2025-08-03 15:39:11,258 basehttp 4472 5472 "OPTIONS /api/dashboard-stats/ HTTP/1.1" 200 0
WARNING 2025-08-03 15:39:11,267 basehttp 4472 1080 "GET /api/dashboard-stats/ HTTP/1.1" 401 58
WARNING 2025-08-03 15:39:11,282 log 4472 5472 Unauthorized: /api/dashboard-stats/
INFO 2025-08-03 15:39:11,282 basehttp 4472 1080 "OPTIONS /api/products/ HTTP/1.1" 200 0
WARNING 2025-08-03 15:39:11,291 basehttp 4472 5472 "GET /api/dashboard-stats/ HTTP/1.1" 401 58
INFO 2025-08-03 15:39:11,676 basehttp 4472 5472 "GET /api/products/ HTTP/1.1" 200 916
INFO 2025-08-03 15:39:11,698 basehttp 4472 5472 "OPTIONS /api/users/ HTTP/1.1" 200 0
WARNING 2025-08-03 15:39:11,708 log 4472 1080 Unauthorized: /api/users/
INFO 2025-08-03 15:39:11,716 basehttp 4472 5472 "GET /api/products/ HTTP/1.1" 200 916
WARNING 2025-08-03 15:39:11,733 basehttp 4472 1080 "GET /api/users/ HTTP/1.1" 401 58
WARNING 2025-08-03 15:39:11,759 log 4472 5472 Unauthorized: /api/users/
WARNING 2025-08-03 15:39:11,774 basehttp 4472 5472 "GET /api/users/ HTTP/1.1" 401 58
INFO 2025-08-03 15:39:12,000 basehttp 4472 1080 "GET /api/customers/ HTTP/1.1" 200 1313
INFO 2025-08-03 15:39:12,023 basehttp 4472 1080 "OPTIONS /api/sales/ HTTP/1.1" 200 0
INFO 2025-08-03 15:39:12,071 basehttp 4472 1080 "GET /api/customers/ HTTP/1.1" 200 1313
INFO 2025-08-03 15:39:12,116 basehttp 4472 5472 "GET /api/sales/ HTTP/1.1" 200 2335
INFO 2025-08-03 15:39:12,124 basehttp 4472 1080 "OPTIONS /api/notifications/ HTTP/1.1" 200 0
WARNING 2025-08-03 15:39:12,132 log 4472 1080 Unauthorized: /api/notifications/
WARNING 2025-08-03 15:39:12,134 basehttp 4472 1080 "GET /api/notifications/ HTTP/1.1" 401 58
INFO 2025-08-03 15:39:12,146 basehttp 4472 1080 "OPTIONS /api/audit-logs/ HTTP/1.1" 200 0
WARNING 2025-08-03 15:39:12,153 log 4472 1080 Unauthorized: /api/audit-logs/
WARNING 2025-08-03 15:39:12,155 basehttp 4472 1080 "GET /api/audit-logs/ HTTP/1.1" 401 58
INFO 2025-08-03 15:39:12,171 basehttp 4472 5472 "GET /api/sales/ HTTP/1.1" 200 2335
WARNING 2025-08-03 15:39:12,180 log 4472 5472 Unauthorized: /api/notifications/
WARNING 2025-08-03 15:39:12,188 basehttp 4472 5472 "GET /api/notifications/ HTTP/1.1" 401 58
WARNING 2025-08-03 15:39:12,198 log 4472 5472 Unauthorized: /api/audit-logs/
WARNING 2025-08-03 15:39:12,200 basehttp 4472 5472 "GET /api/audit-logs/ HTTP/1.1" 401 58
